name,lat,lng,formatted_address,rating,extracted_activities,activity_scores
Aanda Ella Fall,6.7120206,80.4609959,Ratnapura,4.280645855889234,"['hiking', 'caving', 'waterfalls']","[3.5, 3.6666666666666665, 3.0]"
Aberdeen Waterfall,6.9491486,80.5015144,Ginigathhena,4.790742101631211,"['hiking', 'waterfalls']","[3.8, 4.6]"
Ahangama,5.973974699999999,80.36215949999999,Ahangama,,"['surfing', 'beach visits']","[2.2, 3.2]"
Ahungalla,6.313277600000001,80.0409178,Ahungalla,,"['beach visits', 'beachfront dining', 'arts and culture', 'cultural experiences', 'local crafts', 'wildlife viewing', 'sightseeing', 'outdoor adventures']","[2.5, 2.4, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
Alahana Pirivena,7.9619237,81.003995,Polonnaruwa,4.700491127474659,"['archaeological sites', 'historic sites', 'arts and culture', 'historical monuments', 'architecture tours', 'sightseeing', 'cultural experiences', 'historic walks', 'temple pilgrimages', 'spiritual retreats', 'architecture photography', 'landscape photography', 'photography', 'history tours', 'outdoor adventures']","[5.0, 5.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 4.0]"
Alankuda Casuarina Beach,8.0481352,79.709916,Kalpitiya,4.353583777168904,"['beach visits', 'beachfront dining', 'hiking', 'snorkeling', 'landscape photography']","[4.428571428571429, 3.0, 4.0, 4.0, 4.0]"
"All Saints Church, Galle Church of Ceylon",6.027534,80.2174478,Galle,4.412032188702285,"['architecture photography', 'arts and culture', 'historic sites', 'historical monuments', 'sightseeing', 'architecture tours']","[4.2, 4.166666666666667, 4.166666666666667, 4.166666666666667, 4.166666666666667, 4.0]"
Alupotha Ella Waterfall,6.6182776,80.4095082,Magurugoda Alupotha Rd,4.417348737198644,"['waterfalls', 'photography', 'hiking']","[4.0, 4.0, 4.0]"
"Aluthnuwara Rajamaha Viharaya , Aluthnuwara",7.2273193,80.4852434,Mawanella Aluthnuwara Rd,4.826857085708196,"['architecture photography', 'architecture tours', 'arts and culture', 'cultural experiences', 'historic sites', 'historical monuments', 'temple pilgrimages', 'sightseeing']","[3.6666666666666665, 3.6666666666666665, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]"
Ambalangoda,6.2441521,80.0590804,Ambalangoda,,"['turtle watching', 'local crafts', 'fishing']","[2.8333333333333335, 2.1666666666666665, 1.3333333333333333]"
Ambuluwawa Biodiversity Complex,7.1616275,80.5471974,Gampola ,4.599020754395325,"['hiking', 'bird watching', 'photography', 'landscape photography', 'outdoor adventures', 'architecture photography', 'wildlife viewing', 'arts and culture']","[3.8, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0]"
Ambuluwawa Temple,7.1610613,80.5470683,Gampola,4.893964907565287,"['architecture photography', 'hiking', 'cultural experiences', 'sightseeing', 'architecture tours', 'landscape photography', 'temple pilgrimages']","[5.0, 3.6, 4.6, 5.0, 5.0, 5.0, 4.4]"
Anawilundawa Wetland,7.709594699999999,79.82127000000001,Anawilundawa Wetland,,"['bird watching', 'wildlife viewing']","[2.2, 2.2]"
Angammedilla National Park,7.9254453,80.9207737,Diyabeduma,4.153364934119189,"['jeep safaris', 'wildlife viewing', 'landscape photography', 'nature walks', 'picnic', 'historic sites', 'cycling', 'bird watching', 'wildlife safaris', 'hiking']","[5.0, 2.8, 4.333333333333333, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0]"
Anuradhapura New Town,8.3227654,80.4025767,Anuradhapura,4.413751072802612,"['archaeological sites', 'historical monuments', 'arts and culture', 'city tours', 'historic sites', 'historic walks', 'cultural experiences', 'temple pilgrimages', 'sightseeing', 'local crafts', 'architecture photography', 'architecture tours', 'history tours', 'wildlife viewing']","[5.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
Arankale Buddhist Monastery,7.639653800000001,80.4191984,Kumbukwewa,4.829208947904073,"['hiking', 'cultural experiences', 'arts and culture', 'meditation', 'historic sites', 'historic walks', 'spiritual retreats', 'archaeological sites', 'architecture tours', 'historical monuments', 'architecture photography', 'landscape photography']","[4.0, 4.666666666666667, 4.5, 4.0, 5.0, 4.0, 4.333333333333333, 5.0, 4.0, 4.0, 4.0, 4.0]"
Archaeological Museum Mihintale,8.3555282,80.5133253,Mihintale,4.230318715928743,"['museum visits', 'arts and culture', 'historic sites', 'historical monuments', 'history tours']","[4.0, 3.8, 4.0, 4.0, 4.0]"
Archaeology Museum Kotte,6.8932482,79.9050836,Sri Jayawardenepura Kotte,4.628047801186627,"['museum visits', 'historical monuments', 'history tours', 'arts and culture', 'historic sites', 'cultural experiences']","[4.0, 4.0, 3.0, 4.0, 3.6666666666666665, 3.5]"
"Arthurs Seat View Point, Kandy",7.288817,80.6398053,Kandy,4.498639664506186,"['hiking', 'photography', 'sightseeing', 'arts and culture', 'landscape photography', 'temple pilgrimages']","[4.0, 4.0, 4.0, 4.5, 4.0, 4.0]"
Arugam Bay Beach,6.840407799999999,81.8368478,Arugam Bay Beach,4.78963070249736,"['surfing', 'beach visits', 'beachfront dining', 'cultural experiences']","[4.5, 3.8, 4.5, 4.0]"
Arukuveli Beach,9.6241919,80.1718869,Chavakachcheri,4.3532265519877775,"['beach visits', 'snorkeling']","[4.25, 5.0]"
Athugala Viharaya,7.4842574,80.3705497,Kurunegala,4.873727903100438,"['hiking', 'sightseeing', 'temple pilgrimages', 'landscape photography', 'cultural experiences', 'local crafts', 'photography']","[3.6, 4.6, 4.6, 5.0, 4.0, 4.0, 4.0]"
Auslink Hotel Walapane Sri Lanka,7.0950433,80.8627914,Walapane,4.149136565022313,"['hiking', 'cultural experiences', 'arts and culture', 'wildlife viewing', 'sightseeing', 'photography', 'landscape photography', 'tea tasting', 'outdoor adventures']","[5.0, 3.2, 3.2, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0]"
Bakers Falls,6.7927,80.7895,Bakers Falls,4.498089083221011,"['waterfalls', 'picnic', 'photography', 'hiking']","[3.0, 4.2, 3.75, 4.0]"
Balana Fort,7.2699125,80.4956232,Kadugannawa Balana Rd,4.157826311248124,"['hiking', 'historic sites', 'arts and culture', 'historical monuments', 'history tours', 'historic walks', 'architecture photography', 'architecture tours']","[3.8, 4.0, 3.6666666666666665, 4.0, 4.0, 4.0, 4.0, 4.0]"
Bambarakanda Falls,6.7733517,80.8312138,Kalupahana Ohiya Rd,4.499207540408085,"['hiking', 'waterfalls', 'camping', 'photography']","[3.8, 4.75, 4.0, 4.333333333333333]"
Bambarakiri Ella,7.495246000000001,80.6990011,Kandy,4.401452766698231,"['waterfalls', 'hiking', 'photography', 'landscape photography', 'sightseeing', 'picnic', 'suspension bridge', 'outdoor adventures']","[5.0, 3.75, 4.8, 5.0, 4.0, 5.0, 4.25, 4.0]"
"Baobab Tree Pallimunai, Mannar, Sri Lanka",8.9816707,79.9231902,Mannar,4.307553436895144,"['historical monuments', 'sightseeing', 'history tours', 'landscape photography', 'historic sites', 'arts and culture', 'cultural experiences', 'wildlife viewing', 'photography', 'outdoor adventures', 'historic walks', 'beach visits', 'hiking', 'camping']","[5.0, 4.0, 4.0, 4.0, 3.5, 3.5, 3.5, 3.5, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0]"
Batadombalena,6.776506499999999,80.3959493,Kuruwita,4.235186945252485,"['hiking', 'caving', 'waterfalls']","[3.6, 3.8, 4.0]"
Bathalagoda Tank,7.531868,80.450986,Kurunegala,4.590763479983333,"['sunrise', 'peaceful walk', 'picnic', 'swings', 'bird watching', 'photography', 'tranquil experience', 'kayaking', 'walk', 'hanging out by the water', 'peaceful vibes', 'evening walk']","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 5.0, 4.0, 5.0, 5.0]"
Batticaloa Dutch Fort,7.7118126,81.702124,Batticaloa,4.018550430022733,"['historic sites', 'architecture tours', 'history tours', 'historic walks', 'architecture photography', 'landscape photography', 'arts and culture', 'historical monuments', 'sightseeing']","[4.333333333333333, 4.333333333333333, 4.5, 4.166666666666667, 4.166666666666667, 4.0, 4.166666666666667, 4.166666666666667, 4.166666666666667]"
Batticaloa Gate,7.713625,81.699643,Batticaloa,4.681166117238506,"['historical monuments', 'historic walks', 'sightseeing', 'landscape photography', 'beach visits', 'boat wild life safaris', 'arts and culture', 'outdoor adventures', 'picnic']","[4.4, 4.2, 4.2, 4.333333333333333, 4.5, 4.0, 4.0, 4.0, 4.0]"
Batticaloa Lagoon,7.7143998,81.70257,Batticaloa,3.992888788293372,"['boat wild life safaris', 'beach visits', 'beachfront dining', 'fishing', 'sightseeing', 'wildlife viewing']","[5.0, 4.8, 5.0, 4.25, 5.0, 4.333333333333333]"
Batticaloa Lighthouse,7.754836,81.6853974,Batticaloa,4.3108478027149,"['architecture photography', 'historic sites', 'sightseeing', 'boat wild life safaris', 'hiking', 'landscape photography', 'cultural experiences', 'outdoor adventures', 'beach visits', 'local crafts', 'photography']","[5.0, 4.75, 4.8, 5.0, 4.0, 5.0, 5.0, 4.5, 4.666666666666667, 5.0, 5.0]"
Belihuloya,6.718399,80.7740912,Belihuloya,,"['waterfalls', 'camping', 'rock climbing']","[3.0, 1.4, 2.75]"
Belilena Cave,7.002237099999999,80.4357814,Kitulgala,4.579056665069154,"['caving', 'hiking', 'waterfalls', 'archaeological sites', 'wildlife viewing']","[4.2, 3.6666666666666665, 4.5, 4.0, 3.0]"
Bentota Ganga,6.395779499999999,80.09541639999999,Bentota Ganga,4.614171305701191,"['river cruises', 'bird watching', 'wildlife viewing']","[3.8, 4.0, 3.75]"
Bird Watching Tower,8.9570945,79.9201626,Mannar,4.143583154147569,['bird watching'],[4.2]
Black Galle Fort Zwart Bastion,6.0291295,80.2192923,Galle,4.32724908804835,"['historic sites', 'architecture photography', 'history tours', 'museum visits', 'sightseeing', 'architecture', 'landscape photography', 'historic walks', 'archaeological sites', 'historical monuments', 'arts and culture', 'photography', 'outdoor adventures']","[5.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0]"
Blue moon camping,8.2110065,79.6941835,Kandakuliya,4.485802695761737,"['camping', 'hiking', 'stargazing', 'fishing', 'wildlife viewing', 'bird watching', 'photography']","[3.857142857142857, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0]"
Boat Trip Kalpitiya Dolphin Watching,8.2317679,79.7679965,Kalpitiya,4.814666599992894,"['boat wild life safaris', 'wildlife viewing', 'dolphin watching']","[4.0, 4.0, 4.0]"
Bogoda Raja Maha Viharaya,7.0080193,80.9961595,Bogoda Brdge Rd,4.808647231527663,"['archaeological sites', 'architecture photography', 'arts and culture', 'historic sites', 'historical monuments', 'temple pilgrimages', 'sightseeing', 'cultural experiences', 'hiking', 'wildlife viewing']","[5.0, 4.4, 4.8, 4.2, 4.2, 4.2, 4.0, 4.0, 3.0, 4.0]"
Bolgoda Lake,6.771221799999999,79.9066763,Bolgoda Lake,4.5692279947288,"['fishing', 'bird watching', 'kayaking', 'beach visits', 'landscape photography']","[3.5, 5.0, 5.0, 4.0, 4.0]"
Bomburu Ella Waterfall,6.9473204,80.8311903,Galpalama,4.689366356458555,"['hiking', 'landscape photography', 'waterfalls']","[5.0, 5.0, 5.0]"
Bopath Falls,6.8017619,80.3694222,Kuruwita,4.694439603330943,"['waterfalls', 'hiking', 'wildlife viewing', 'beach visits', 'sightseeing', 'photography', 'cultural experiences', 'picnicking', 'swimming']","[4.8, 2.3333333333333335, 2.0, 4.0, 3.5, 4.0, 4.0, 4.0, 4.0]"
Bowatenna Reservoir,7.6714182,80.6668997,Arangala,4.599025065530813,"['hiking', 'landscape photography', 'photography', 'bird watching', 'wildlife viewing', 'sightseeing', 'fishing', 'camping', 'cultural experiences', 'history tours', 'beach visits', 'kayaking', 'paddleboarding', 'cycling', 'mountain biking', 'outdoor adventures', 'architecture photography']","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
Box Stone pettigala,7.299619,80.5632199,Muruthalawa,3.715380849989087,"['hiking', 'photography', 'historic sites', 'rock climbing', 'landscape photography', 'outdoor adventures', 'wildlife viewing']","[2.75, 4.0, 2.0, 3.5, 3.5, 3.0, 3.0]"
British Queens House,6.0277701,80.2177698,Galle,4.670666487480903,"['architecture photography', 'historic sites', 'arts and culture', 'museum visits', 'history tours', 'sightseeing', 'landscape photography', 'cultural experiences', 'historic walks', 'botanical gardens', 'outdoor adventures']","[5.0, 5.0, 4.0, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0]"
Buddhangala Raja Maha Viharaya,7.3318361,81.7036489,Buddangala,4.403271910962903,"['hiking', 'arts and culture', 'historic sites', 'architecture photography', 'archaeological sites', 'history tours', 'cultural experiences', 'temple pilgrimages', 'spiritual retreats', 'photography']","[4.0, 5.0, 4.8, 5.0, 5.0, 5.0, 5.0, 4.333333333333333, 4.5, 5.0]"
Bundala National Park,6.1990863,81.2104935,bundala ,4.3063114488523055,"['bird watching', 'wildlife viewing', 'landscape photography', 'wild life safaris', 'elephant rides']","[3.8181818181818183, 3.857142857142857, 5.0, 4.5, 4.0]"
Chariot Path,7.0844375,80.7239375,Ramboda,4.9503382036731,['hiking'],[4.0]
Chundikulam Bird Sanctuary,9.5141667,80.5322222,Pachchilapalli,4.313885187475072,"['bird watching', 'beach visits', 'fishing']","[4.0, 3.7142857142857144, 3.3333333333333335]"
Cinnamon Bentota Beach,6.424905499999999,79.9968753,Bentota ,4.894466947172195,"['beach visits', 'ayurvedic spa treatments', 'beachfront dining', 'kayaking', 'yoga retreats']","[4.666666666666667, 5.0, 4.5, 5.0, 4.0]"
Colombo City Tour,6.8662122,79.88319969999999,Nugegoda,4.715620871559649,"['city tours', 'arts and culture', 'museum visits', 'architecture tours', 'architecture photography', 'historic sites', 'historical monuments', 'cultural experiences', 'sightseeing', 'history tours']","[4.333333333333333, 4.25, 3.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
Colombo Lotus Tower,6.9272949,79.8584587,Colombo,4.102858229942493,"['architecture photography', 'architecture tours', 'arts and culture', 'city tours', 'sightseeing', 'public art installations', 'museum visits', 'beachfront dining']","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
Colombo National Museum,6.909999099999999,79.8609032,Colombo ,4.598686630999282,"['museum visits', 'historical monuments', 'arts and culture', 'historic sites', 'botanical gardens']","[4.0, 4.0, 4.0, 4.0, 4.0]"
Coral Sanctuary Boat Ticket Issue Center,6.137341899999999,80.0992534,Hikkaduwa,4.246882007174786,['snorkeling'],[4.0]
Corbetts Gap,7.3727646,80.8408785,Hunnasgiriya Meemure Road,4.495569192963004,"['hiking', 'landscape photography', 'outdoor adventures', 'wildlife viewing', 'sightseeing']","[5.0, 5.0, 5.0, 5.0, 5.0]"
Council Chamber,7.9428101,81.001852,Polonnaruwa,4.738347763761473,"['archaeological sites', 'architecture photography', 'historic sites', 'history tours', 'cultural experiences', 'historical monuments', 'sightseeing']","[4.2, 4.0, 4.2, 3.0, 4.2, 4.2, 3.4]"
Crocodile Lake Panama,6.7590091,81.7860471,Panama,4.196688079560035,"['wildlife viewing', 'bird watching']","[4.5, 4.0]"
Dakkhina Stupa Anuradhapura,8.3411599,80.395259,Anuradhapura,4.569888338189556,"['archaeological sites', 'architecture photography', 'historic sites', 'historic walks', 'history tours', 'arts and culture', 'cultural experiences', 'sightseeing', 'photography', 'landscape photography', 'historical monuments', 'temple pilgrimages']","[3.75, 4.0, 4.5, 4.0, 3.0, 3.75, 4.0, 3.75, 3.6666666666666665, 4.0, 4.0, 4.0]"
Dalada Maluva Polonnaruwa,7.9476343,81.001233,Polonnaruwa,4.791269360081152,"['archaeological sites', 'architecture photography', 'architecture tours', 'arts and culture', 'cultural experiences', 'historic sites', 'historic walks', 'historical monuments', 'history tours', 'museum visits', 'sightseeing', 'temple pilgrimages', 'cycling', 'wildlife viewing', 'photography', 'landscape photography']","[5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 4.0]"
Dambulla,7.874217000000001,80.6511287,Dambulla,,"['air ballooning', 'horseback riding']","[1.6666666666666667, 2.6666666666666665]"
Dambulla Royal Cave Temple and Golden Temple,7.854914099999999,80.6505699,Dambulla,4.250646327140208,"['archaeological sites', 'arts and culture', 'cultural experiences', 'hiking', 'historic sites', 'historical monuments', 'temple pilgrimages', 'sightseeing', 'architecture photography', 'photography', 'architecture tours', 'history tours', 'spiritual retreats']","[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
Deegavapi Maha Stupa,7.2841152,81.7865422,Nintavur,4.813999932805339,"['historical monuments', 'architecture photography', 'historic sites', 'arts and culture', 'history tours', 'architecture tours', 'archaeological sites', 'cultural experiences', 'temple pilgrimages', 'spiritual retreats', 'landscape photography', 'photography', 'historic walks', 'sightseeing', 'hiking', 'outdoor adventures', 'village homestays']","[5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.0]"
Deegawapi Raja Maha Vihara,7.2847427,81.7857885,Nintavur,4.776594199172169,"['historical monuments', 'architecture', 'arts and culture', 'cultural experiences', 'spiritual retreats', 'historic sites', 'temple pilgrimages']","[4.4, 4.0, 4.4, 4.4, 5.0, 4.4, 4.4]"
Dehiwala Zoological Gardens,6.8569811,79.8744025,DehiwalaMount Lavinia,4.400203213211535,"['wildlife viewing', 'animal encounters', 'tiger enclosure', 'botanical gardens', 'elephant rides', 'aquarium visits', 'python encounters', 'sea lion show']","[4.333333333333333, 3.8333333333333335, 5.0, 4.0, 2.0, 3.0, 5.0, 3.0]"
Deliwala Kota Vehera Temple,7.3529846,80.3780437,Rambukkana ,4.710910904702443,"['architecture photography', 'architecture tours', 'arts and culture', 'cultural experiences', 'historic sites', 'historical monuments', 'history tours', 'temple pilgrimages']","[5.0, 5.0, 4.8, 4.8, 4.8, 4.8, 4.8, 4.6]"
Dematamal Viharaya,6.7539904,81.2880131,B,4.682277260764257,"['historic sites', 'archaeological sites', 'arts and culture', 'cultural experiences', 'temple pilgrimages', 'architecture photography', 'architecture tours', 'history tours', 'historic walks', 'sightseeing']","[3.3333333333333335, 5.0, 3.3333333333333335, 3.3333333333333335, 3.3333333333333335, 3.5, 3.5, 4.0, 4.0, 4.0]"
Devon Falls,6.951407700000001,80.6300174,Dimbula,4.686810079910172,"['hiking', 'photography', 'tea tasting', 'waterfalls']","[4.75, 4.666666666666667, 4.333333333333333, 4.5]"
Dhanaja Gem Museum,6.704170200000001,80.3863567,Ratnapura ,4.100366737109899,"['museum visits', 'arts and culture', 'cultural experiences', 'historic sites', 'sightseeing', 'local crafts']","[4.2, 4.2, 4.5, 4.0, 3.0, 3.0]"
Dhushan ella,6.6317153,80.3542309,Palawela,4.589761310074923,"['hiking', 'landscape photography', 'sightseeing', 'waterfalls', 'wildlife viewing']","[4.2, 5.0, 4.0, 4.25, 4.0]"
Diggala Campaign Side,6.8398993,81.2723738,Muthukeliyawa,4.825703114826881,"['hiking', 'landscape photography', 'photography', 'wildlife viewing']","[4.2, 5.0, 4.0, 4.0]"
Dimbulana hills Spot,7.0053879,80.9536201,Badulla,4.757038849338745,"['hiking', 'sightseeing', 'picnicking', 'wildlife viewing']","[4.4, 5.0, 4.0, 4.0]"
Dimiyawa View Point,6.7073383,80.3490515,Dimiyawa,4.791009815832508,"['landscape photography', 'sightseeing', 'picnic', 'photography', 'wildlife viewing']","[5.0, 4.5, 5.0, 4.333333333333333, 4.0]"
Divulgaskada Kuda Wewa,8.6612124,80.5617788,Puhudivula Rd,4.61769851231621,"['hiking', 'photography', 'picnicking', 'historic sites', 'bird watching', 'wildlife viewing', 'sightseeing', 'historical monuments', 'historic walks']","[5.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0]"
Diyagala Escape,6.7069924,80.4390735,Ratnapura,,['hiking'],[2.2]
Diyaluma Falls,6.7331443,81.0314173,Koslanda,4.9928301440547145,"['hiking', 'camping', 'bathing', 'photography', 'waterfalls']","[3.75, 4.0, 4.0, 4.0, 4.0]"
Diyatha Uyana,6.904575,79.9098313,Sri Jayawardenepura Kotte,4.599733312406802,"['bird watching', 'hiking', 'wildlife viewing', 'local crafts', 'sightseeing']","[4.4, 4.0, 4.2, 4.0, 4.0]"
Diyawatanalla Waterfall,6.849332,80.8589566,Alawathugoda,3.5404539610711714,"['waterfalls', 'hiking']","[1.0, 2.0]"
"Dry Zone Botanic Gardens, Hambantota",6.1533995,81.066035,Hambantota,4.790477886288845,"['botanical gardens', 'hiking', 'landscape photography', 'bird watching', 'wildlife viewing', 'sightseeing', 'arts and culture', 'photography']","[4.023255813953488, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
Dunhinda Waterfall,7.0175417,81.0635655,Dunhida Water Falls Access Road,4.589621276328648,"['hiking', 'wildlife viewing', 'local crafts', 'waterfalls']","[3.75, 3.75, 3.5, 4.75]"
Dutch Bay Beach,8.5733722,81.2395084,Trincomalee,4.317901306722346,"['beach visits', 'boat wild life safaris', 'beachfront dining', 'snorkeling', 'sightseeing']","[4.428571428571429, 5.0, 3.0, 4.0, 5.0]"
Dutch Cannon,7.7115771,81.7024339,Batticaloa,,"['historic sites', 'historical monuments', 'sightseeing', 'photography']","[1.5, 1.5, 2.1666666666666665, 2.6]"
Dutch Fort Jaffna,9.6620307,80.0084252,Jaffna,4.696771623535241,"['historical monuments', 'architecture photography', 'historic sites', 'arts and culture', 'sightseeing', 'history tours', 'cultural experiences', 'architecture', 'historic walks', 'museum visits']","[5.0, 5.0, 4.5, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0]"
Dutch Museum,6.9359623,79.85163899999999,Colombo ,3.773898799218223,"['museum visits', 'architecture tours', 'history tours', 'arts and culture']","[3.5, 4.333333333333333, 3.6, 3.4]"
"Dutch Reformed Church, Matara",5.9447878,80.5469267,Matara,4.561884859749042,"['architecture photography', 'historic sites', 'arts and culture', 'architecture', 'history tours', 'cultural experiences']","[5.0, 4.2, 4.0, 5.0, 3.0, 4.0]"
Duwili Ella Waterfall,6.6623191,80.8658203,Kalthota,4.497444845118082,"['hiking', 'waterfalls', 'landscape photography', 'outdoor adventures', 'arts and culture', 'sightseeing']","[4.0, 4.8, 4.0, 3.6666666666666665, 3.5, 4.0]"
Elephant Park,7.2764377,81.7969824,Kaliodai Deeghavapi Rd,3.9523277278538247,"['wildlife viewing', 'animal encounters']","[2.4, 3.4]"
Elephant Point Beach,8.5360448,81.2285746,Trincomalee,4.572911130494852,"['beach visits', 'snorkeling', 'swimming', 'museum visits']","[4.428571428571429, 4.0, 3.25, 5.0]"
Elephant Transit Home,6.4266887,80.81653589999999,Udawalawa,4.598095026553942,"['wildlife viewing', 'animal encounters', 'cultural experiences']","[3.0843373493975905, 3.0853658536585367, 4.0]"
Ella Rock Trailhead,6.8578491,81.04402259999999,Ella,4.671727018348628,"['hiking', 'landscape photography', 'tea tasting', 'cultural experiences', 'wildlife viewing']","[4.333333333333333, 4.0, 4.0, 3.5, 3.0]"
Fort Dew Guest House and Restaurant,6.0271673,80.2152041,Galle,4.49264227298601,"['beach visits', 'beachfront dining', 'arts and culture', 'historic sites', 'historic walks', 'sightseeing', 'cultural experiences', 'wildlife viewing']","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
